instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,timestamp,season_label,weather_label,weekday_label,temp_c,feels_like_c,humidity_pct,windspeed_scaled,cnt_iqr_high
1,2011-01-01,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0.0,3,13,16,2011-01-01 00:00:00,spring,clear_or_partly_cloudy,saturday,9.84,14.395,81.0,0.0,False
2,2011-01-01,1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0.0,8,32,40,2011-01-01 01:00:00,spring,clear_or_partly_cloudy,saturday,9.02,13.635,80.0,0.0,False
3,2011-01-01,1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0.0,5,27,32,2011-01-01 02:00:00,spring,clear_or_partly_cloudy,saturday,9.02,13.635,80.0,0.0,False
4,2011-01-01,1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0.0,3,10,13,2011-01-01 03:00:00,spring,clear_or_partly_cloudy,saturday,9.84,14.395,75.0,0.0,False
5,2011-01-01,1,0,1,4,0,6,0,1,0.24,0.2879,0.75,0.0,0,1,1,2011-01-01 04:00:00,spring,clear_or_partly_cloudy,saturday,9.84,14.395,75.0,0.0,False
6,2011-01-01,1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,0,1,1,2011-01-01 05:00:00,spring,mist_or_cloudy,saturday,9.84,12.879999999999999,75.0,6.0032,False
7,2011-01-01,1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0.0,2,0,2,2011-01-01 06:00:00,spring,clear_or_partly_cloudy,saturday,9.02,13.635,80.0,0.0,False
8,2011-01-01,1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0.0,1,2,3,2011-01-01 07:00:00,spring,clear_or_partly_cloudy,saturday,8.200000000000001,12.879999999999999,86.0,0.0,False
9,2011-01-01,1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0.0,1,7,8,2011-01-01 08:00:00,spring,clear_or_partly_cloudy,saturday,9.84,14.395,75.0,0.0,False
10,2011-01-01,1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0.0,8,6,14,2011-01-01 09:00:00,spring,clear_or_partly_cloudy,saturday,13.120000000000001,17.424999999999997,76.0,0.0,False
11,2011-01-01,1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,12,24,36,2011-01-01 10:00:00,spring,clear_or_partly_cloudy,saturday,15.58,19.695,76.0,16.997899999999998,False
12,2011-01-01,1,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,26,30,56,2011-01-01 11:00:00,spring,clear_or_partly_cloudy,saturday,14.76,16.665,81.0,19.0012,False
13,2011-01-01,1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,29,55,84,2011-01-01 12:00:00,spring,clear_or_partly_cloudy,saturday,17.22,21.21,77.0,19.0012,False
14,2011-01-01,1,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,47,47,94,2011-01-01 13:00:00,spring,mist_or_cloudy,saturday,18.86,22.725,72.0,19.999499999999998,False
15,2011-01-01,1,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,35,71,106,2011-01-01 14:00:00,spring,mist_or_cloudy,saturday,18.86,22.725,72.0,19.0012,False
16,2011-01-01,1,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,40,70,110,2011-01-01 15:00:00,spring,mist_or_cloudy,saturday,18.04,21.97,77.0,19.999499999999998,False
17,2011-01-01,1,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,41,52,93,2011-01-01 16:00:00,spring,mist_or_cloudy,saturday,17.22,21.21,82.0,19.999499999999998,False
18,2011-01-01,1,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,15,52,67,2011-01-01 17:00:00,spring,mist_or_cloudy,saturday,18.04,21.97,82.0,19.0012,False
19,2011-01-01,1,0,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,9,26,35,2011-01-01 18:00:00,spring,light_rain_or_snow,saturday,17.22,21.21,88.0,16.997899999999998,False
20,2011-01-01,1,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,6,31,37,2011-01-01 19:00:00,spring,light_rain_or_snow,saturday,17.22,21.21,88.0,16.997899999999998,False
21,2011-01-01,1,0,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,11,25,36,2011-01-01 20:00:00,spring,mist_or_cloudy,saturday,16.400000000000002,20.455000000000002,87.0,16.997899999999998,False
22,2011-01-01,1,0,1,21,0,6,0,2,0.4,0.4091,0.87,0.194,3,31,34,2011-01-01 21:00:00,spring,mist_or_cloudy,saturday,16.400000000000002,20.455000000000002,87.0,12.998000000000001,False
23,2011-01-01,1,0,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,11,17,28,2011-01-01 22:00:00,spring,mist_or_cloudy,saturday,16.400000000000002,20.455000000000002,94.0,15.001299999999999,False
24,2011-01-01,1,0,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,15,24,39,2011-01-01 23:00:00,spring,mist_or_cloudy,saturday,18.86,22.725,88.0,19.999499999999998,False
25,2011-01-02,1,0,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,4,13,17,2011-01-02 00:00:00,spring,mist_or_cloudy,sunday,18.86,22.725,88.0,19.999499999999998,False
26,2011-01-02,1,0,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537,1,16,17,2011-01-02 01:00:00,spring,mist_or_cloudy,sunday,18.04,21.97,94.0,16.997899999999998,False
27,2011-01-02,1,0,1,2,0,0,0,2,0.42,0.4242,1.0,0.2836,1,8,9,2011-01-02 02:00:00,spring,mist_or_cloudy,sunday,17.22,21.21,100.0,19.0012,False
28,2011-01-02,1,0,1,3,0,0,0,2,0.46,0.4545,0.94,0.194,2,4,6,2011-01-02 03:00:00,spring,mist_or_cloudy,sunday,18.86,22.725,94.0,12.998000000000001,False
29,2011-01-02,1,0,1,4,0,0,0,2,0.46,0.4545,0.94,0.194,2,1,3,2011-01-02 04:00:00,spring,mist_or_cloudy,sunday,18.86,22.725,94.0,12.998000000000001,False
30,2011-01-02,1,0,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985,0,2,2,2011-01-02 06:00:00,spring,light_rain_or_snow,sunday,17.22,21.21,77.0,19.999499999999998,False
31,2011-01-02,1,0,1,7,0,0,0,2,0.4,0.4091,0.76,0.194,0,1,1,2011-01-02 07:00:00,spring,mist_or_cloudy,sunday,16.400000000000002,20.455000000000002,76.0,12.998000000000001,False
32,2011-01-02,1,0,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239,0,8,8,2011-01-02 08:00:00,spring,light_rain_or_snow,sunday,16.400000000000002,20.455000000000002,71.0,15.001299999999999,False
33,2011-01-02,1,0,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239,1,19,20,2011-01-02 09:00:00,spring,mist_or_cloudy,sunday,15.58,19.695,76.0,15.001299999999999,False
34,2011-01-02,1,0,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239,7,46,53,2011-01-02 10:00:00,spring,mist_or_cloudy,sunday,14.76,17.424999999999997,81.0,15.001299999999999,False
35,2011-01-02,1,0,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537,16,54,70,2011-01-02 11:00:00,spring,mist_or_cloudy,sunday,14.76,16.665,71.0,16.997899999999998,False
